i,y
1,2.442755149
2,2.322541436
3,6.827430517
4,-0.302037315
5,1.374246275
6,-1.200918268
7,-0.321845421
8,0.270636188
9,1.226614902
10,0.875827871
11,-1.030912667
12,0.76959599
13,0.485803516
14,-0.593444086
15,-1.725404664
16,1.838568816
17,-3.903097011
18,-0.466097431
19,-1.61845429
20,-1.746882154
21,-1.218261216
22,2.066300033
23,-2.322331696
24,0.930222762
25,0.286148066
26,3.688509187
27,-0.4436847
28,-0.228789698
29,-0.540326028
30,-0.572881128
31,-2.029012146
32,-2.023582844
33,1.079174955
34,0.390715995
35,-1.837933882
36,1.471129873
37,-1.924520525
38,1.40388922
39,-1.84271202
40,0.873709907
41,-0.018273967
42,-1.265031709
43,1.043919234
44,0.000976002
45,-1.557889442
46,4.32606257
47,-2.783076285
48,-0.112726504
49,1.822433194
50,0.644425581
51,-0.004937688
52,-1.09186395
53,-0.89813069
54,0.753196873
55,0.873485653
56,0.886921455
57,0.772849525
58,-2.606936413
59,0.329826576
60,-0.5694164
61,0.845881467
62,-0.523014825
63,-2.218007982
64,1.549608346
65,-0.773090178
66,0.001692177
67,1.971332234
68,1.620018013
69,-0.364832245
70,-0.446909425
71,0.231577835
72,-2.440270726
73,-0.124531322
74,0.336054773
75,-0.84481423
76,4.060478071
77,1.034189395
78,-0.044795371
79,-0.810174206
80,0.512072382
81,1.487944234
82,-1.014720632
83,2.362574492
84,2.158981102
85,1.393500072
86,-1.877243332
87,2.938409816
88,0.195363373
89,-0.307474188
90,0.469121736
91,0.969067179
92,-2.217603417
93,-1.635541046
94,1.256092961
95,-0.726656171
96,1.60988296
97,0.720595939
98,-2.336180113
99,-0.945388168
100,2.327637217
